0.000000,20.799999,6.800000,97.000000
0.000000,20.299999,6.500000,99.000000
0.000000,19.900000,4.700000,100.000000
0.000000,20.200001,5.000000,100.000000
0.000000,20.100000,6.500000,100.000000
0.000000,20.000000,5.400000,100.000000
0.000000,20.600000,6.500000,100.000000
0.000000,20.600000,4.300000,100.000000
0.000000,20.500000,1.800000,100.000000
0.000000,20.500000,1.800000,100.000000
0.000000,20.500000,0.700000,100.000000
0.000000,20.700001,6.100000,100.000000
0.000000,20.799999,4.000000,100.000000
0.000000,20.799999,2.900000,99.000000
0.000000,20.700001,4.000000,99.000000
0.000000,20.600000,2.500000,100.000000
0.000000,20.700001,1.800000,100.000000
0.000000,20.600000,0.400000,100.000000
0.000000,20.600000,2.200000,100.000000
0.000000,20.000000,2.500000,100.000000
0.000000,20.200001,2.900000,100.000000
0.000000,20.000000,0.000000,100.000000
0.000000,19.500000,1.800000,100.000000
0.000000,19.700001,0.400000,100.000000
0.000000,19.600000,2.900000,100.000000
0.000000,19.900000,0.000000,100.000000
0.000000,20.100000,0.400000,100.000000
0.000000,20.299999,0.000000,100.000000
0.000000,20.799999,0.000000,98.000000
0.000000,21.000000,2.200000,98.000000
0.000000,21.700001,5.400000,97.000000
0.000000,22.000000,4.000000,94.000000
0.000000,22.200001,4.700000,88.000000
0.000000,22.799999,5.400000,84.000000
0.000000,22.799999,9.400000,83.000000
0.000000,23.400000,10.100000,80.000000
0.000000,22.600000,10.800000,83.000000
0.000000,23.100000,9.700000,81.000000
0.000000,23.200001,12.600000,80.000000
0.000000,23.100000,11.900000,79.000000
0.000000,22.700001,13.300000,82.000000
0.000000,22.500000,13.300000,82.000000
0.000000,22.700001,11.500000,80.000000
0.000000,23.400000,10.400000,76.000000
0.000000,24.000000,10.800000,74.000000
0.000000,23.799999,9.700000,71.000000
0.000000,24.600000,10.400000,69.000000
0.000000,25.400000,14.400000,68.000000
0.000000,24.400000,15.800000,70.000000
0.000000,23.600000,16.600000,71.000000
0.000000,24.500000,11.500000,72.000000
0.000000,24.799999,7.600000,68.000000
0.000000,25.400000,9.700000,69.000000
0.000000,25.799999,12.200000,68.000000
0.000000,26.200001,11.500000,65.000000
0.000000,26.700001,11.200000,65.000000
0.000000,26.600000,8.300000,60.000000
0.000000,28.299999,10.400000,57.000000
0.000000,27.700001,9.000000,57.000000
0.000000,28.100000,7.600000,58.000000
0.000000,27.799999,6.800000,56.000000
0.000000,28.200001,11.900000,59.000000
0.000000,27.700001,15.500000,63.000000
0.000000,27.700001,17.299999,65.000000
0.000000,26.799999,15.100000,65.000000
0.000000,25.500000,21.600000,68.000000
0.000000,24.900000,19.100000,69.000000
0.000000,25.000000,14.000000,70.000000
0.000000,23.799999,17.299999,74.000000
0.000000,22.700001,18.700001,78.000000
0.000000,22.200001,19.100000,80.000000
0.000000,22.299999,15.800000,78.000000
0.000000,21.600000,19.799999,80.000000
0.000000,21.000000,17.600000,82.000000
0.000000,21.299999,12.600000,80.000000
0.000000,21.000000,10.800000,81.000000
0.000000,20.600000,8.600000,82.000000
0.000000,20.299999,9.400000,83.000000
0.000000,20.100000,10.400000,85.000000
0.000000,19.799999,10.400000,86.000000
0.000000,19.500000,13.000000,86.000000
0.000000,18.900000,8.300000,87.000000
0.000000,18.299999,5.400000,87.000000
0.000000,18.200001,9.400000,85.000000
0.000000,17.700001,9.000000,86.000000
0.000000,17.400000,8.300000,84.000000
0.000000,17.100000,7.600000,80.000000
0.000000,16.799999,8.300000,81.000000
0.000000,15.800000,4.300000,86.000000
0.000000,14.700000,3.600000,92.000000
0.000000,14.700000,5.800000,95.000000
0.000000,14.800000,5.800000,92.000000
0.000000,14.300000,6.500000,91.000000
0.000000,14.400000,1.100000,89.000000
0.000000,13.200000,4.700000,96.000000
0.000000,13.400000,3.200000,98.000000
0.000000,13.300000,3.600000,98.000000
0.000000,12.600000,3.200000,99.000000
0.000000,12.700000,1.800000,100.000000
0.000000,12.400000,2.900000,100.000000
0.000000,12.100000,2.900000,100.000000
0.000000,11.700000,1.400000,100.000000
0.000000,12.100000,3.200000,100.000000
0.000000,12.200000,2.500000,100.000000
0.000000,12.900000,4.700000,100.000000
0.000000,13.100000,8.600000,100.000000
0.000000,13.100000,10.800000,100.000000
0.000000,12.500000,8.300000,100.000000
0.000000,12.400000,10.400000,100.000000
0.000000,12.400000,7.900000,100.000000
0.000000,12.500000,2.900000,100.000000
0.000000,12.200000,2.900000,100.000000
0.000000,11.700000,6.100000,100.000000
0.000000,11.300000,6.500000,100.000000
0.000000,12.000000,7.600000,100.000000
0.000000,11.500000,8.300000,100.000000
0.000000,11.400000,7.200000,100.000000
0.000000,11.300000,7.900000,100.000000
0.000000,11.600000,7.200000,100.000000
0.000000,11.600000,7.600000,100.000000
0.000000,11.800000,7.900000,100.000000
0.000000,12.500000,7.200000,100.000000
0.000000,13.000000,7.200000,100.000000
0.000000,13.500000,7.200000,100.000000
0.000000,14.300000,6.500000,98.000000
0.000000,15.200000,6.800000,95.000000
0.000000,16.200001,10.400000,92.000000
0.000000,17.000000,8.600000,88.000000
0.000000,17.900000,7.600000,85.000000
0.000000,18.600000,7.200000,81.000000
0.000000,19.000000,10.800000,75.000000
0.000000,19.700001,11.200000,70.000000
0.000000,20.100000,10.400000,68.000000
0.000000,21.100000,10.100000,61.000000
0.000000,21.200001,11.500000,62.000000
0.000000,22.000000,12.200000,60.000000
0.000000,22.500000,10.100000,58.000000
0.000000,23.000000,10.800000,56.000000
0.000000,23.299999,9.700000,53.000000
0.000000,24.000000,9.400000,50.000000
